time: 14/01/2020 - 16:53:28
###########   TRAINING STARTED  ############
Iter =   1340/ 10000, loss_seg = 0.1301 loss_adv = 0.0027, loss_weight = 0.0180, loss_D_s = 0.2845 loss_D_t = 0.2754
Iter =   1350/ 10000, loss_seg = 0.4364 loss_adv = 0.0026, loss_weight = 0.0180, loss_D_s = 0.8475 loss_D_t = 0.4826
Iter =   1360/ 10000, loss_seg = 1.5101 loss_adv = 0.0029, loss_weight = 0.0180, loss_D_s = 1.3588 loss_D_t = 0.6125
Iter =   1370/ 10000, loss_seg = 0.2639 loss_adv = 0.0025, loss_weight = 0.0180, loss_D_s = 0.3614 loss_D_t = 0.6664
Iter =   1380/ 10000, loss_seg = 0.4151 loss_adv = 0.0030, loss_weight = 0.0179, loss_D_s = 0.8765 loss_D_t = 0.2365
Iter =   1390/ 10000, loss_seg = 0.3823 loss_adv = 0.0015, loss_weight = 0.0179, loss_D_s = 0.5811 loss_D_t = 0.8539
Iter =   1400/ 10000, loss_seg = 1.4304 loss_adv = 0.0014, loss_weight = 0.0179, loss_D_s = 0.5765 loss_D_t = 1.0806
Iter =   1410/ 10000, loss_seg = 0.3696 loss_adv = 0.0029, loss_weight = 0.0179, loss_D_s = 0.6351 loss_D_t = 0.4205
Iter =   1420/ 10000, loss_seg = 0.1693 loss_adv = 0.0031, loss_weight = 0.0179, loss_D_s = 0.5095 loss_D_t = 0.4241
Iter =   1430/ 10000, loss_seg = 0.3594 loss_adv = 0.0018, loss_weight = 0.0178, loss_D_s = 0.4450 loss_D_t = 0.7892
Iter =   1440/ 10000, loss_seg = 0.3279 loss_adv = 0.0024, loss_weight = 0.0178, loss_D_s = 1.0489 loss_D_t = 0.4505
Iter =   1450/ 10000, loss_seg = 0.2665 loss_adv = 0.0023, loss_weight = 0.0178, loss_D_s = 0.4388 loss_D_t = 0.3673
Iter =   1460/ 10000, loss_seg = 0.5618 loss_adv = 0.0019, loss_weight = 0.0178, loss_D_s = 0.4424 loss_D_t = 0.4834
Iter =   1470/ 10000, loss_seg = 0.5281 loss_adv = 0.0018, loss_weight = 0.0178, loss_D_s = 0.4677 loss_D_t = 0.4519
Iter =   1480/ 10000, loss_seg = 0.2313 loss_adv = 0.0015, loss_weight = 0.0177, loss_D_s = 0.4622 loss_D_t = 0.5628
Iter =   1490/ 10000, loss_seg = 0.3925 loss_adv = 0.0020, loss_weight = 0.0177, loss_D_s = 0.4355 loss_D_t = 0.5688
Iter =   1500/ 10000, loss_seg = 0.3429 loss_adv = 0.0017, loss_weight = 0.0177, loss_D_s = 0.7483 loss_D_t = 0.6334
Iter =   1510/ 10000, loss_seg = 0.3134 loss_adv = 0.0060, loss_weight = 0.0177, loss_D_s = 0.5402 loss_D_t = 0.4601
Iter =   1520/ 10000, loss_seg = 0.5348 loss_adv = 0.0057, loss_weight = 0.0177, loss_D_s = 0.7418 loss_D_t = 0.2230
Iter =   1530/ 10000, loss_seg = 0.6553 loss_adv = 0.0025, loss_weight = 0.0177, loss_D_s = 0.7652 loss_D_t = 0.3676
Iter =   1540/ 10000, loss_seg = 0.2540 loss_adv = 0.0020, loss_weight = 0.0176, loss_D_s = 0.5829 loss_D_t = 0.5623
