time: 14/01/2020 - 17:55:18
###########   TRAINING STARTED  ############
Iter =   1500/ 10000, loss_seg = 0.2352 loss_adv = 0.0016, loss_weight = 0.0175, loss_D_s = 0.6218 loss_D_t = 0.4276
Iter =   1510/ 10000, loss_seg = 0.2320 loss_adv = 0.0041, loss_weight = 0.0175, loss_D_s = 0.6484 loss_D_t = 0.5201
Iter =   1520/ 10000, loss_seg = 0.1695 loss_adv = 0.0033, loss_weight = 0.0175, loss_D_s = 0.5993 loss_D_t = 0.4762
Iter =   1530/ 10000, loss_seg = 0.1908 loss_adv = 0.0026, loss_weight = 0.0175, loss_D_s = 1.0297 loss_D_t = 0.7828
Iter =   1540/ 10000, loss_seg = 0.2522 loss_adv = 0.0022, loss_weight = 0.0175, loss_D_s = 0.5274 loss_D_t = 0.4695
Iter =   1550/ 10000, loss_seg = 0.3484 loss_adv = 0.0017, loss_weight = 0.0174, loss_D_s = 0.7386 loss_D_t = 0.4993
Iter =   1560/ 10000, loss_seg = 0.2291 loss_adv = 0.0013, loss_weight = 0.0174, loss_D_s = 0.5560 loss_D_t = 0.5302
Iter =   1570/ 10000, loss_seg = 0.3707 loss_adv = 0.0015, loss_weight = 0.0174, loss_D_s = 0.6035 loss_D_t = 0.6038
Iter =   1580/ 10000, loss_seg = 0.3717 loss_adv = 0.0019, loss_weight = 0.0174, loss_D_s = 0.5175 loss_D_t = 0.4965
Iter =   1590/ 10000, loss_seg = 0.3629 loss_adv = 0.0017, loss_weight = 0.0174, loss_D_s = 0.3408 loss_D_t = 0.5359
Iter =   1600/ 10000, loss_seg = 0.2322 loss_adv = 0.0023, loss_weight = 0.0173, loss_D_s = 0.4502 loss_D_t = 0.7216
Iter =   1610/ 10000, loss_seg = 0.3536 loss_adv = 0.0030, loss_weight = 0.0173, loss_D_s = 0.7315 loss_D_t = 0.4245
Iter =   1620/ 10000, loss_seg = 0.5522 loss_adv = 0.0020, loss_weight = 0.0173, loss_D_s = 0.9410 loss_D_t = 0.4356
Iter =   1630/ 10000, loss_seg = 0.1602 loss_adv = 0.0021, loss_weight = 0.0173, loss_D_s = 0.4900 loss_D_t = 0.5556
Iter =   1640/ 10000, loss_seg = 0.1972 loss_adv = 0.0035, loss_weight = 0.0173, loss_D_s = 0.5366 loss_D_t = 0.3097
Iter =   1650/ 10000, loss_seg = 0.4299 loss_adv = 0.0017, loss_weight = 0.0172, loss_D_s = 0.6707 loss_D_t = 0.7247
Iter =   1660/ 10000, loss_seg = 0.2200 loss_adv = 0.0015, loss_weight = 0.0172, loss_D_s = 0.5172 loss_D_t = 0.3560
Iter =   1670/ 10000, loss_seg = 0.3347 loss_adv = 0.0030, loss_weight = 0.0172, loss_D_s = 0.9892 loss_D_t = 0.2804
Iter =   1680/ 10000, loss_seg = 0.2946 loss_adv = 0.0034, loss_weight = 0.0172, loss_D_s = 0.5675 loss_D_t = 0.4710
Iter =   1690/ 10000, loss_seg = 0.4276 loss_adv = 0.0032, loss_weight = 0.0172, loss_D_s = 0.7257 loss_D_t = 0.6710
Iter =   1700/ 10000, loss_seg = 0.5949 loss_adv = 0.0012, loss_weight = 0.0171, loss_D_s = 0.8651 loss_D_t = 0.5079
Iter =   1710/ 10000, loss_seg = 0.2051 loss_adv = 0.0017, loss_weight = 0.0171, loss_D_s = 0.8906 loss_D_t = 0.5373
Iter =   1720/ 10000, loss_seg = 0.3423 loss_adv = 0.0049, loss_weight = 0.0171, loss_D_s = 0.6283 loss_D_t = 0.3237
Iter =   1730/ 10000, loss_seg = 0.2067 loss_adv = 0.0015, loss_weight = 0.0171, loss_D_s = 0.4469 loss_D_t = 0.4459
Iter =   1740/ 10000, loss_seg = 0.2804 loss_adv = 0.0022, loss_weight = 0.0171, loss_D_s = 0.4909 loss_D_t = 0.5288
Iter =   1750/ 10000, loss_seg = 0.3252 loss_adv = 0.0022, loss_weight = 0.0170, loss_D_s = 0.6176 loss_D_t = 0.4563
Iter =   1760/ 10000, loss_seg = 0.1642 loss_adv = 0.0014, loss_weight = 0.0170, loss_D_s = 0.4175 loss_D_t = 0.6240
Iter =   1770/ 10000, loss_seg = 0.1472 loss_adv = 0.0017, loss_weight = 0.0170, loss_D_s = 0.7020 loss_D_t = 0.4030
Iter =   1780/ 10000, loss_seg = 0.4059 loss_adv = 0.0013, loss_weight = 0.0170, loss_D_s = 0.4434 loss_D_t = 0.3914
Iter =   1790/ 10000, loss_seg = 0.1696 loss_adv = 0.0037, loss_weight = 0.0170, loss_D_s = 0.8705 loss_D_t = 0.6766
Iter =   1800/ 10000, loss_seg = 0.2345 loss_adv = 0.0014, loss_weight = 0.0169, loss_D_s = 0.5350 loss_D_t = 0.5409
Iter =   1810/ 10000, loss_seg = 0.2618 loss_adv = 0.0033, loss_weight = 0.0169, loss_D_s = 0.3201 loss_D_t = 0.5690
Iter =   1820/ 10000, loss_seg = 0.2203 loss_adv = 0.0020, loss_weight = 0.0169, loss_D_s = 0.6100 loss_D_t = 0.8357
Iter =   1830/ 10000, loss_seg = 0.1748 loss_adv = 0.0022, loss_weight = 0.0169, loss_D_s = 0.5357 loss_D_t = 0.5234
Iter =   1840/ 10000, loss_seg = 0.2538 loss_adv = 0.0019, loss_weight = 0.0169, loss_D_s = 0.7795 loss_D_t = 0.4783
