DateTime: 27/01/2020 - 14:43:53
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    770/ 32000, loss_seg = 1.3649 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.7389 loss_D_t = 0.6103
Iter =    780/ 32000, loss_seg = 1.2979 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.6212 loss_D_t = 0.6875
Iter =    790/ 32000, loss_seg = 0.8824 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0195, loss_D_s = 0.7310 loss_D_t = 0.6434
Iter =    800/ 32000, loss_seg = 0.5361 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.7613 loss_D_t = 0.7063
Iter =    810/ 32000, loss_seg = 0.9853 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.6937 loss_D_t = 0.6006
Iter =    820/ 32000, loss_seg = 1.2179 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.7221 loss_D_t = 0.7043
Iter =    830/ 32000, loss_seg = 1.1357 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.5462 loss_D_t = 0.6715
Iter =    840/ 32000, loss_seg = 0.5908 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.5905 loss_D_t = 0.6296
Iter =    850/ 32000, loss_seg = 0.6380 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.5904 loss_D_t = 0.7621
Iter =    860/ 32000, loss_seg = 3.6128 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.7773 loss_D_t = 0.6790
Iter =    870/ 32000, loss_seg = 2.6787 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.6363 loss_D_t = 0.6897
Iter =    880/ 32000, loss_seg = 0.5173 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.6515 loss_D_t = 0.6528
Iter =    890/ 32000, loss_seg = 0.4779 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0195, loss_D_s = 0.6042 loss_D_t = 0.8061
Iter =    900/ 32000, loss_seg = 1.2506 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0195, loss_D_s = 0.7810 loss_D_t = 0.5511
Iter =    910/ 32000, loss_seg = 0.6149 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.6882 loss_D_t = 0.6517
Iter =    920/ 32000, loss_seg = 0.8012 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.6191 loss_D_t = 0.6417
Iter =    930/ 32000, loss_seg = 1.3705 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0195, loss_D_s = 0.6389 loss_D_t = 0.6557
Iter =    940/ 32000, loss_seg = 0.3825 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.6587 loss_D_t = 0.7049
Iter =    950/ 32000, loss_seg = 0.6002 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0195, loss_D_s = 0.6895 loss_D_t = 0.5647
Iter =    960/ 32000, loss_seg = 0.8524 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.7209 loss_D_t = 0.7701
Iter =    970/ 32000, loss_seg = 0.6473 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.7501 loss_D_t = 0.5397
Iter =    980/ 32000, loss_seg = 1.1713 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.8429 loss_D_t = 0.5654
Iter =    990/ 32000, loss_seg = 1.6337 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.7414 loss_D_t = 0.6470
Iter =   1000/ 32000, loss_seg = 0.3632 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.6617 loss_D_t = 0.6089
Iter =   1010/ 32000, loss_seg = 1.0759 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.7328 loss_D_t = 0.6840
Iter =   1020/ 32000, loss_seg = 1.3227 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0194, loss_D_s = 0.8821 loss_D_t = 0.5645
Iter =   1030/ 32000, loss_seg = 0.8092 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.5259 loss_D_t = 0.6449
Iter =   1040/ 32000, loss_seg = 0.8166 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0194, loss_D_s = 0.4594 loss_D_t = 0.6418
Iter =   1050/ 32000, loss_seg = 1.9636 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0194, loss_D_s = 0.6506 loss_D_t = 0.7030
Iter =   1060/ 32000, loss_seg = 1.1460 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0194, loss_D_s = 0.7091 loss_D_t = 0.5481
