time: 16/01/2020 - 00:10:57

Iter =    750/ 50000, loss_seg = 3.5928 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.3387 loss_D_t = 0.5664
Iter =    760/ 50000, loss_seg = 0.4474 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.7350 loss_D_t = 0.6217
Iter =    770/ 50000, loss_seg = 0.5264 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5163 loss_D_t = 0.4799
Iter =    780/ 50000, loss_seg = 0.4226 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.4008 loss_D_t = 0.7396
Iter =    790/ 50000, loss_seg = 0.4850 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.6915 loss_D_t = 0.5455
Iter =    800/ 50000, loss_seg = 0.7211 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.7899 loss_D_t = 0.6130
Iter =    810/ 50000, loss_seg = 0.7397 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.3760 loss_D_t = 0.5796
Iter =    820/ 50000, loss_seg = 0.5291 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.4978 loss_D_t = 0.5081
Iter =    830/ 50000, loss_seg = 0.3312 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 0.5444 loss_D_t = 0.5104
Iter =    840/ 50000, loss_seg = 1.2377 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 1.1165 loss_D_t = 0.4431
Iter =    850/ 50000, loss_seg = 2.0225 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.6139 loss_D_t = 0.5363
Iter =    860/ 50000, loss_seg = 0.5983 loss_adv = 0.0006, loss_weight = 0.0199, loss_D_s = 0.4257 loss_D_t = 0.9425
Iter =    870/ 50000, loss_seg = 0.3959 loss_adv = 0.0005, loss_weight = 0.0199, loss_D_s = 0.2723 loss_D_t = 1.0497
Iter =    880/ 50000, loss_seg = 0.2534 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.6329 loss_D_t = 0.5772
Iter =    890/ 50000, loss_seg = 0.4893 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5240 loss_D_t = 0.5480
Iter =    900/ 50000, loss_seg = 2.3172 loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.5052 loss_D_t = 0.7954
Iter =    910/ 50000, loss_seg = 0.4562 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 0.4314 loss_D_t = 0.4486
Iter =    920/ 50000, loss_seg = 0.3910 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.2910 loss_D_t = 0.5325
Iter =    930/ 50000, loss_seg = 1.0964 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.7538 loss_D_t = 0.6051
Iter =    940/ 50000, loss_seg = 3.2155 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.8375 loss_D_t = 0.6397
Iter =    950/ 50000, loss_seg = 0.7045 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.4235 loss_D_t = 0.5098
Iter =    960/ 50000, loss_seg = 0.2649 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.6345 loss_D_t = 0.7458
Iter =    970/ 50000, loss_seg = 0.4241 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.6023 loss_D_t = 0.6465
Iter =    980/ 50000, loss_seg = 1.1610 loss_adv = 0.0012, loss_weight = 0.0199, loss_D_s = 0.7748 loss_D_t = 0.4040
Iter =    990/ 50000, loss_seg = 0.4797 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.5891 loss_D_t = 0.5554
Iter =   1000/ 50000, loss_seg = 0.4107 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5655 loss_D_t = 0.4769
Iter =   1010/ 50000, loss_seg = 1.3152 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.4298 loss_D_t = 0.5772
Iter =   1020/ 50000, loss_seg = 0.3133 loss_adv = 0.0013, loss_weight = 0.0199, loss_D_s = 0.6510 loss_D_t = 0.4314
Iter =   1030/ 50000, loss_seg = 0.3157 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.2864 loss_D_t = 0.6094
Iter =   1040/ 50000, loss_seg = 0.3064 loss_adv = 0.0012, loss_weight = 0.0199, loss_D_s = 0.3256 loss_D_t = 0.4312
Iter =   1050/ 50000, loss_seg = 0.4924 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 0.6139 loss_D_t = 0.5729
Iter =   1060/ 50000, loss_seg = 0.2235 loss_adv = 0.0012, loss_weight = 0.0199, loss_D_s = 0.6429 loss_D_t = 0.4666
Iter =   1070/ 50000, loss_seg = 0.3036 loss_adv = 0.0013, loss_weight = 0.0199, loss_D_s = 0.7015 loss_D_t = 0.4869
Iter =   1080/ 50000, loss_seg = 0.2656 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 0.3805 loss_D_t = 0.4768
Iter =   1090/ 50000, loss_seg = 0.5849 loss_adv = 0.0012, loss_weight = 0.0199, loss_D_s = 0.6299 loss_D_t = 0.4410
Iter =   1100/ 50000, loss_seg = 0.2924 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5066 loss_D_t = 0.5471
Iter =   1110/ 50000, loss_seg = 0.5745 loss_adv = 0.0014, loss_weight = 0.0199, loss_D_s = 0.6481 loss_D_t = 0.3398
Iter =   1120/ 50000, loss_seg = 0.5694 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.6091 loss_D_t = 0.6122
Iter =   1130/ 50000, loss_seg = 1.1830 loss_adv = 0.0012, loss_weight = 0.0199, loss_D_s = 0.3927 loss_D_t = 0.4393
