DateTime: 05/02/2020 - 12:10:30
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  46280/ 48000, loss_seg = 0.0943 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.1252 loss_D_t = 0.1675
Iter =  46290/ 48000, loss_seg = 0.4134 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0008, loss_D_s = 0.1976 loss_D_t = 0.1218
Iter =  46300/ 48000, loss_seg = 0.1322 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.0714 loss_D_t = 0.2142
Iter =  46310/ 48000, loss_seg = 0.1504 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2203 loss_D_t = 0.2665
Iter =  46320/ 48000, loss_seg = 0.1573 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2962 loss_D_t = 0.2344
Iter =  46330/ 48000, loss_seg = 0.2669 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.0634 loss_D_t = 0.1525
Iter =  46340/ 48000, loss_seg = 0.3024 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1862 loss_D_t = 0.3289
Iter =  46350/ 48000, loss_seg = 0.1207 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0007, loss_D_s = 0.1582 loss_D_t = 0.2179
Iter =  46360/ 48000, loss_seg = 0.1029 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.2730 loss_D_t = 0.2561
Iter =  46370/ 48000, loss_seg = 0.1009 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.0595 loss_D_t = 0.1988
Iter =  46380/ 48000, loss_seg = 0.1505 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0007, loss_D_s = 0.2484 loss_D_t = 0.1773
Iter =  46390/ 48000, loss_seg = 0.2217 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1886 loss_D_t = 0.1727
Iter =  46400/ 48000, loss_seg = 0.0753 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1379 loss_D_t = 0.1650
Iter =  46410/ 48000, loss_seg = 0.3165 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1798 loss_D_t = 0.4015
Iter =  46420/ 48000, loss_seg = 0.0952 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0007, loss_D_s = 0.1898 loss_D_t = 0.2567
