DateTime: 05/02/2020 - 12:13:33
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  21020/ 48000, loss_seg = 0.2213 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.4735 loss_D_t = 0.4744
Iter =  21030/ 48000, loss_seg = 0.3284 loss_rot = 0.0001, loss_adv = 0.0003, loss_weight = 0.0119, loss_D_s = 0.3239 loss_D_t = 0.3595
Iter =  21040/ 48000, loss_seg = 0.1439 loss_rot = 0.0001, loss_adv = 0.0004, loss_weight = 0.0119, loss_D_s = 0.4653 loss_D_t = 0.3951
Iter =  21050/ 48000, loss_seg = 0.1561 loss_rot = 0.0001, loss_adv = 0.0006, loss_weight = 0.0119, loss_D_s = 0.4302 loss_D_t = 0.2499
Iter =  21060/ 48000, loss_seg = 0.1162 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.3819 loss_D_t = 0.4724
Iter =  21070/ 48000, loss_seg = 0.2766 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0119, loss_D_s = 0.3550 loss_D_t = 0.3930
Iter =  21080/ 48000, loss_seg = 0.1727 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.1947 loss_D_t = 0.4818
Iter =  21090/ 48000, loss_seg = 0.1355 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.3176 loss_D_t = 0.4116
Iter =  21100/ 48000, loss_seg = 0.2189 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.3615 loss_D_t = 0.5704
Iter =  21110/ 48000, loss_seg = 0.1989 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0119, loss_D_s = 0.5933 loss_D_t = 0.2966
Iter =  21120/ 48000, loss_seg = 0.5649 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.4957 loss_D_t = 0.5857
Iter =  21130/ 48000, loss_seg = 0.1688 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0119, loss_D_s = 0.2855 loss_D_t = 0.3814
Iter =  21140/ 48000, loss_seg = 0.1373 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0119, loss_D_s = 0.3822 loss_D_t = 0.3201
Iter =  21150/ 48000, loss_seg = 0.1731 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.3530 loss_D_t = 0.4606
Iter =  21160/ 48000, loss_seg = 0.1765 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.3804 loss_D_t = 0.3964
Iter =  21170/ 48000, loss_seg = 0.1566 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0119, loss_D_s = 0.3942 loss_D_t = 0.4482
Iter =  21180/ 48000, loss_seg = 0.1347 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0119, loss_D_s = 0.3126 loss_D_t = 0.4104
Iter =  21190/ 48000, loss_seg = 0.3106 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0119, loss_D_s = 0.4594 loss_D_t = 0.4445
Iter =  21200/ 48000, loss_seg = 0.1808 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0119, loss_D_s = 0.5276 loss_D_t = 0.3721
Iter =  21210/ 48000, loss_seg = 0.2556 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0118, loss_D_s = 0.3749 loss_D_t = 0.2566
Iter =  21220/ 48000, loss_seg = 0.2268 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.4545 loss_D_t = 0.3151
Iter =  21230/ 48000, loss_seg = 0.1796 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0118, loss_D_s = 0.2442 loss_D_t = 0.3846
Iter =  21240/ 48000, loss_seg = 0.1551 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.3222 loss_D_t = 0.6463
Iter =  21250/ 48000, loss_seg = 0.1197 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.3273 loss_D_t = 0.5107
Iter =  21260/ 48000, loss_seg = 0.1540 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.1279 loss_D_t = 0.4692
Iter =  21270/ 48000, loss_seg = 0.1417 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.2763 loss_D_t = 0.6682
Iter =  21280/ 48000, loss_seg = 0.1203 loss_rot = 0.0001, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.2878 loss_D_t = 0.6164
Iter =  21290/ 48000, loss_seg = 0.1678 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.3250 loss_D_t = 0.3396
Iter =  21300/ 48000, loss_seg = 0.1786 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.3344 loss_D_t = 0.5279
Iter =  21310/ 48000, loss_seg = 0.1336 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.2369 loss_D_t = 0.5875
Iter =  21320/ 48000, loss_seg = 0.1086 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.4545 loss_D_t = 0.3290
Iter =  21330/ 48000, loss_seg = 0.1135 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.3267 loss_D_t = 0.4488
Iter =  21340/ 48000, loss_seg = 0.3350 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0118, loss_D_s = 0.3811 loss_D_t = 0.3122
Iter =  21350/ 48000, loss_seg = 0.2772 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.2738 loss_D_t = 0.5048
Iter =  21360/ 48000, loss_seg = 0.2847 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.3097 loss_D_t = 0.7094
Iter =  21370/ 48000, loss_seg = 0.1470 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.2559 loss_D_t = 0.5871
Iter =  21380/ 48000, loss_seg = 0.1439 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.2605 loss_D_t = 0.4588
Iter =  21390/ 48000, loss_seg = 0.0961 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.4319 loss_D_t = 0.4082
Iter =  21400/ 48000, loss_seg = 0.0960 loss_rot = 0.0000, loss_adv = 0.0005, loss_weight = 0.0118, loss_D_s = 0.3399 loss_D_t = 0.4252
Iter =  21410/ 48000, loss_seg = 0.1913 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0118, loss_D_s = 0.4670 loss_D_t = 0.4306
Iter =  21420/ 48000, loss_seg = 0.1531 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0118, loss_D_s = 0.2874 loss_D_t = 0.6977
Iter =  21430/ 48000, loss_seg = 0.1371 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.2230 loss_D_t = 0.6139
Iter =  21440/ 48000, loss_seg = 0.2591 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.4679 loss_D_t = 0.5156
Iter =  21450/ 48000, loss_seg = 0.1105 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.2202 loss_D_t = 0.4153
Iter =  21460/ 48000, loss_seg = 0.2854 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0117, loss_D_s = 0.5163 loss_D_t = 0.2591
Iter =  21470/ 48000, loss_seg = 0.2215 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0117, loss_D_s = 0.2724 loss_D_t = 0.5122
Iter =  21480/ 48000, loss_seg = 0.1478 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0117, loss_D_s = 0.4352 loss_D_t = 0.2809
Iter =  21490/ 48000, loss_seg = 0.3703 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.2589 loss_D_t = 0.3260
Iter =  21500/ 48000, loss_seg = 0.2001 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0117, loss_D_s = 0.6243 loss_D_t = 0.2837
Iter =  21510/ 48000, loss_seg = 0.1044 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0117, loss_D_s = 0.2995 loss_D_t = 0.3551
Iter =  21520/ 48000, loss_seg = 0.1837 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.5897 loss_D_t = 0.3119
Iter =  21530/ 48000, loss_seg = 0.1537 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.3640 loss_D_t = 0.3279
Iter =  21540/ 48000, loss_seg = 0.3022 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.7328 loss_D_t = 0.4494
Iter =  21550/ 48000, loss_seg = 0.1974 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.2901 loss_D_t = 0.4300
Iter =  21560/ 48000, loss_seg = 0.1227 loss_rot = 0.0000, loss_adv = 0.0004, loss_weight = 0.0117, loss_D_s = 0.4097 loss_D_t = 0.3795
Iter =  21570/ 48000, loss_seg = 0.2027 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0117, loss_D_s = 0.2169 loss_D_t = 0.5341
Iter =  21580/ 48000, loss_seg = 0.7047 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0117, loss_D_s = 0.2953 loss_D_t = 0.3944
