DateTime: 30/01/2020 - 15:12:13
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    790/ 48000, loss_seg = 0.4920 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.3683 loss_D_t = 0.7607
Iter =    800/ 48000, loss_seg = 0.9289 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.7013 loss_D_t = 0.6129
Iter =    810/ 48000, loss_seg = 5.0768 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.6127 loss_D_t = 0.5047
Iter =    820/ 48000, loss_seg = 2.3639 loss_rot = 0.0000, loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.7724 loss_D_t = 0.4931
Iter =    830/ 48000, loss_seg = 1.1288 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.6762 loss_D_t = 0.6042
Iter =    840/ 48000, loss_seg = 1.1582 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.7279 loss_D_t = 0.6441
Iter =    850/ 48000, loss_seg = 0.8952 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.4501 loss_D_t = 0.6169
Iter =    860/ 48000, loss_seg = 0.8795 loss_rot = 0.0000, loss_adv = 0.0013, loss_weight = 0.0197, loss_D_s = 0.5096 loss_D_t = 0.4072
Iter =    870/ 48000, loss_seg = 1.1822 loss_rot = 0.0000, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.6509 loss_D_t = 0.5043
Iter =    880/ 48000, loss_seg = 0.7926 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.4244 loss_D_t = 0.6725
Iter =    890/ 48000, loss_seg = 2.3459 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6438 loss_D_t = 0.7017
